name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
阿克西奥,SGB_Axio,,链戍集团军,maneuveringjets,,600,100,500,,100,0,,150,225,200,150,120,45,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,
阿克西奥[协同],SGB_Axio_Coop,,链戍集团军,displacer,,500,150,850,,150,0,,150,225,200,86,120,50,NONE,,0,0,0,,,2,2,,,,,,,,,
阿克西奥[制空],SGB_Axio_DogFight,,链戍集团军,maneuveringjets,,500,80,600,,100,0,,180,225,200,200,175,60,NONE,,0,0,0,,,2,2,,,,,,,
阿克西奥[打击],SGB_Axio_Assault,,链戍集团军,SGB_Fighter_damper,,1500,250,500,,100,0,,130,225,200,150,120,50,NONE,,0,0,0,,,2,2,,,,,,,,,
阿尔贞,SGB_Argion,,链戍集团军,flarelauncher_fighter,,500,100,200,,50,0,,450,100,75,65,120,35,NONE,,0,0,0,,,2,2,,,,,,,,
#特殊
淬火,SGB_Quench,,链戍集团军,flarelauncher_fighter,,500,100,800,,300,0,,240,400,350,90,180,60,OMNI,,80,0,1,,,1,1,,,,,,,,,,,,,,,,0.35,2,2,0
#阿尔贞,SGB_Argion===,,链戍集团军,flarelauncher_fighter,,800,190,200,,50,0,,345,180,150,90,200,40,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,
淬火长机,SGB_Quench_Fri,精英战机,链戍集团军,SGB_SpatiootemporalDrive_Light,12,550,140,1000,,90,50,4,240,500,400,90,180,90,OMNI,,120,0.5,0.89,,,1,2,5,4,0.4,10,10,5000,5,20,240,0.25,1,0.5,HIDE_IN_CODEX,"no_sell,restricted",,0.35,2,3,0
淬火领机,SGB_Quench_Clo,ACE战机,链戍集团军,SGB_SpatiootemporalDrive,20,800,300,2000,,180,80,4,240,400,400,100,180,100,OMNI,,190,0.5,0.89,,,1,2,5,4,0.4,10,10,10000,5,20,300,0.25,1,0.5,HIDE_IN_CODEX,"no_sell,restricted",,0.35,2,3,0
奥氏体,SGB_Austenite,实验性战机,链戍集团军,SGB_Austenite_System_Repair,25,2200,500,5000,3000,500,70,,140,180,180,60,75,225,FRONT,,150,0.3,0.78,,,2,20,50,30,1,30,10,100000,5,20,360,0.25,20,14,HIDE_IN_CODEX,"no_sell,restricted",,0.4,2,7,0
奥氏体,SGB_Austenite_Carrier,实验性战机,链戍集团军,SGB_RepairWings,25,2200,500,5000,3000,500,70,2,140,180,180,60,75,225,FRONT,,150,0.3,0.78,,,2,40,40,30,1,30,10,100000,5,20,360,0.25,24,16,"HIDE_IN_CODEX, CARRIER, COMBAT","no_sell,restricted",,0.4,2,7,0
奥氏体之翼,SGB_Austenite_Wingman_Assault,实验性僚机,链戍集团军,flarelauncher_active,25,1750,250,1500,3000,300,0,,320,600,350,100,180,50,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,0.5,2,4,0
奥氏体之翼,SGB_Austenite_Wingman_Ship,实验性僚机,链戍集团军,flarelauncher_active,25,750,250,1500,3000,300,50,,320,600,350,100,180,50,FRONT,,100,0,0.75,,,1,1,25,30,1,30,10,50000,5,20,360,0.25,24,16,HIDE_IN_CODEX,"no_sell,restricted",,0.5,2,4,0
#护卫
杜普利,SGB_Duplin,穿梭机,链戍集团军,maneuveringjets,3,900,180,1400,1000,80,25,,140,150,75,45,85,120,OMNI,,150,0.5,0.8,,,2,30,30,15,1,15,10,4000,5,20,180,0.25,2,2,,"iirt_all_bp, SGB_bp",,0.75,2,4,0
凯斯,SGB_Ceaies,准护卫舰,链戍集团军,maneuveringjets,4,1000,200,1800,1000,110,50,,140,140,70,45,75,120,OMNI,,150,0.5,0.8,,,5,30,25,20,1,20,10,6000,5,20,200,0.25,3,3,,"iirt_all_bp, SGB_bp",,0.5,2,4,0
雷德蒙德,SGB_Redmond,后勤输送舰,链戍集团军,maneuveringjets,4,1400,200,1750,2500,120,60,,110,120,100,60,50,160,OMNI,,150,0.4,0.8,,,5,60,80,50,1,50,10,7500,5,20,200,0.25,4,4,LINER,"iirt_all_bp, SGB_bp",,0.75,2,5,0
费利克斯,SGB_Felix,支援导弹舰,链戍集团军,XXVII_flak_Felix,5,2000,500,2500,1600,100,35,,90,120,100,60,120,200,OMNI,,300,0.5,0.8,,,15,30,30,30,1,30,9,17500,5,10,200,0.25,4,4,,"iirt_all_bp, SGB_bp",,0.5,2,4,0
维索斯,SGB_Wiesios,高速护卫舰,链戍集团军,ammofeed,6,1750,175,2250,1875,150,55,,150,120,100,60,100,250,FRONT,,150,0.4,0.8,,,15,25,50,20,1,20,9,15000,5,10,200,0.25,4,4,,"iirt_all_bp, SGB_bp",1.25,0.5,2,4,0
萨姆纳,SGB_Sumner,重型炮舰,链戍集团军,maneuveringjets,8,2200,500,3000,2188,200,70,,100,110,90,50,55,300,OMNI,,180,0.4,0.8,,,20,40,50,25,1,25,9,20000,5,10,240,0.25,10,10,,"iirt_all_bp, SGB_bp",,0.5,2,4,0
#驱逐
波斯摩斯,SGB_Posmous,轻型驱逐舰,链戍集团军,maneuveringjets,12,3000,400,5000,4800,300,95,,120,110,100,60,100,300,OMNI,,150,0.4,0.8,,,20,40,25,45,1,45,9,30000,5,10,240,0.25,12,12,,"iirt_all_bp, SGB_bp",,0.5,2,5,0
海姆斯,SGB_Hammies,驱逐舰,链戍集团军,ammofeed,11,5500,650,4200,4167,250,100,,90,60,40,30,55,450,FRONT,,300,0.4,0.8,,,50,100,100,60,2,30,9,40000,5,12,240,0.25,11,10,,"iirt_all_bp, SGB_bp",,0.5,2,4,0
欧贞特,SGB_Ogent,高速驱逐炮舰,链戍集团军,maneuveringjets,15,3500,300,5000,4800,300,100,,110,120,95,55,45,350,OMNI,,180,0.4,0.8,,,50,100,50,25,2,40,9,56000,5,10,300,0.25,13,13,,"iirt_all_bp, SGB_bp",,0.5,2,4,0
达文波特,SGB_Davington,导弹驱逐舰,链戍集团军,forgevats,10,3750,300,4500,4800,300,100,,90,80,60,30,30,330,FRONT,,300,0.4,0.8,,,50,75,80,60,2,35,9,75500,5,15,300,0.25,11,11,,,0,0.5,2,5,0
鞭绽,SGB_Whip,支援舰,链戍集团军,SGB_drone_pd_x3,14,5500,500,5000,4000,200,110,,60,60,40,15,20,500,FRONT,,300,0.5,0.8,,,85,150,100,70,2,35,9,75000,3,12,480,0.25,17,17,,"iirt_all_bp, SGB_bp",0.75,0.5,2,3,
阿利盖特,SGB_Aligate,轻型航母,链戍集团军,targetingfeed,12,5000,350,5000,2500,200,69,2,70,50,30,40,25,350,OMNI,,180,0.4,0.87,,,90,125,90,60,2,30,8,70000,3,12,360,0.25,14,14,CARRIER,"iirt_all_bp, SGB_bp",,0.5,2,5,0
阿利库替,SGB_Alicuty,驱逐航母,链戍集团军,reservewing,12,5000,500,5000,2500,200,84,1,72,60,40,50,25,350,OMNI,,180,0.5,0.8,,,90,150,40,40,2,20,9,72000,5,15,420,0.25,15,15,"CARRIER, COMBAT","iirt_all_bp, SGB_bp",,0.5,2,5,0
阿基里斯,SGB_Achilles,重型游猎舰,链戍集团军,microburn,16,6000,800,6000,3333,500,100,,80,70,60,55,30,430,OMNI,,300,0.5,0.8,,,100,150,90,90,3,30,9,88000,5,12,480,0.25,15,15,,"iirt_all_bp, SGB_bp",,0.4,2,4,0
#巡洋
猎鹰(SGB),SGB_Falcon,轻型巡洋舰,链戍集团军,maneuveringjets,12,6000,800,6800,8000,500,125,,75,60,50,25,20,650,FRONT,,270,0.4,0.8,,,100,180,120,100,3,33,9,85000,4,12,480,0.25,15,14,,"iirt_all_bp, SGB_bp",,0.5,2,4,
猎鹰(XXVII),SGB_Falcon_2,轻型巡洋舰,链戍集团军,maneuveringjets,15,6000,800,7000,8000,500,125,,70,60,50,25,20,650,FRONT,,270,0.4,0.8,,,100,180,120,100,3,33,9,90000,4,12,480,0.25,17,15,,"iirt_all_bp, SGB_XXVII_bp",,0.5,2,4,
雄鹰(SGB),SGB_Eagle,巡洋舰,链戍集团军,maneuveringjets,14,8000,1100,10800,12000,700,155,,55,30,20,20,20,1200,FRONT,,270,0.4,0.8,,,150,250,150,100,3,33,8,125000,3,12,480,0.25,22,20,,"iirt_all_bp, SGB_bp",,0.5,2,3,
雄鹰(XXVII),SGB_Eagle_2,巡洋舰,链戍集团军,maneuveringjets,17,8000,1100,11000,12000,700,155,,55,30,20,20,20,1200,FRONT,,270,0.4,0.8,,,150,250,150,100,3,33,8,130000,3,12,480,0.25,24,20,,"iirt_all_bp, SGB_XXVII_bp",,0.5,2,3,
阿斯凯迪,SGB_Ascaedy,航空巡洋舰,链戍集团军,maneuveringjets,20,9000,800,10000,5800,600,205,2,60,40,30,27,20,1950,FRONT,,300,0.5,0.8,,,200,350,200,120,5,24,8,250000,5,12,540,0.25,35,35,COMBAT,"iirt_all_bp, SGB_bp",,0.4,2,5,0
雕锻,SGB_Carving,重型巡洋舰,链戍集团军,ammofeed,20,11000,1000,17000,15000,750,185,1,55,37,37,25,20,2000,FRONT,,150,0.4,0.8,,,150,250,200,120,5,24,8,250000,5,12,660,0.25,35,35,,"iirt_all_bp, SGB_bp",,0.35,2,4,
铸砧,SGB_Anvil,航空运输节点,链戍集团军,XXVII_Quench,30,9500,1000,9000,5000,450,160,2,40,30,25,10,10,2120,FRONT,,300,0.5,0.8,,,200,600,500,250,15,30,8,300000,5,15,660,0.25,35,35,FREIGHTER,"iirt_all_bp, SGB_bp",0.65,0.25,2,4,0
#战列
#铸砧,SGB_Anvil,航空战列舰,链戍集团军,XXVII_Quench,30,10000,1000,13000,5800,600,220,2,40,40,30,12,15,2120,FRONT,,300,0.5,0.8,,,200,600,200,220,10,22,7,300000,5,15,660,0.25,54,50,,"iirt_all_bp, SGB_bp",0.65,0.4,2,6,0
应力,SGB_Stress,高速战列舰,链戍集团军,maneuveringjets,28,14000,1300,18000,18500,900,280,,45,30,40,15,10,3000,OMNI,,150,0.4,0.8,,,500,600,250,400,12,33,7,355000,4,15,660,0.25,38,38,,"iirt_all_bp, SGB_bp",0.8,0.4,2,6,
应力(XXVII),SGB_Stress_2,原装高速战列舰,链戍集团军,maneuveringjets,29,14000,1200,18500,18500,900,280,,50,80,70,17,13,3000,OMNI,,150,0.3,0.8,,,500,600,250,400,12,33,7,355000,5,15,660,0.25,40,40,,"iirt_all_bp, SGB_bp, SGB_XXVII_bp",0.5,0.4,2,6,
攻势(SGB),SGB_Onslaught,战列舰,链戍集团军,burndrive,29,17000,1500,17000,15000,600,350,,30,40,35,8,5,3500,FRONT,,180,0.4,1,,,750,1500,300,400,15,27,7,400000,3,12,720,0.25,45,40,,"iirt_all_bp, SGB_bp",0.75,0.4,2,6,0
延性,SGB_Ductility,战机中枢,链戍集团军,SGB_ConstructWing,34,12000,950,15000,18000,650,255,3,40,25,20,10,8,3000,OMNI,,220,0.4,0.8,,,450,1000,250,200,10,20,7,400000,3,15,600,0.25,55,55,"CARRIER,COMBAT","iirt_all_bp, SGB_bp, SGB_XXVII_bp",0.5,0.4,2,6
延性(XXVII),SGB_Ductility_2,战机中枢,链戍集团军,SGB_ConstructWing,36,12000,950,15000,18000,650,270,4,45,25,20,10,8,3000,OMNI,,220,0.4,0.8,,,450,1000,250,200,10,20,7,450000,3,15,600,0.25,60,60,"CARRIER,COMBAT","iirt_all_bp, SGB_bp, SGB_XXVII_bp",0.5,0.4,2,6
锻炉,SGB_Forgnace_Battle,战列舰,链戍集团军,plasmajets,32,18500,1400,20000,18500,1000,300,,35,20,15,8,8,3200,FRONT,,180,0.4,0.9,,,800,1600,300,400,15,27,7,457500,3,15,720,0.25,50,50,,"iirt_all_bp, SGB_bp, SGB_XXVII_bp",,0.4,2,7,
锻炉(XXVII),SGB_Forgnace_Battle_2,战列舰,链戍集团军,plasmajets,34,18500,1500,21000,18500,1100,290,,35,20,15,8,8,3200,FRONT,,180,0.4,0.9,,,800,1600,300,400,15,27,7,457500,3,12,720,0.25,52,52,,"iirt_all_bp, SGB_bp, SGB_XXVII_bp",0.45,0.4,2,7,
锻炉要塞,SGB_Forgnace,原装打击中枢,链戍集团军,SGB_ConstructWing,38,18000,1675,15000,12500,1250,360,5,35,13,15,8,6,3500,FRONT,,180,0.4,0.9,,,900,2100,400,400,20,20,6,785000,5,10,720,0.25,65,70,"CARRIER,COMBAT","iirt_all_bp, SGB_XXVII_bp",0.1,0.25,4,10,
#炼金师
水银形,SGB_Hydrargyri,冲击物,链戍集团军,SGB_AsAboveSoBelow,16,5000,800,5000,6000,200,80,,100,60,60,35,20,250,PHASE,SGB_damper,,,,,,60,80,100,60,2,30,9,62500,6,15,480,0.25,15,15,,"iirt_all_bp, SGB_bp, SGB_XXVII_bp",0.5,0.5,2,3
硫化体,SGB_Vulcanizing,袭击形,链戍集团军,,18,6500,750,9500,8000,650,105,,66,66,66,33,66,666,OMNI,,210,0.4,0.8,,,100,180,120,100,3,33,9,90000,4,12,480,0.25,18,18,,"iirt_all_bp, SGB_XXVII_bp",0.5,0.5,2,4,
#后勤
浇铸,SGB_Mould,重型货舰,链戍集团军,SGB_drone_pd_x4,7,5500,300,2750,2000,100,90,,40,20,10,10,10,1500,FRONT,,150,0.5,1,,,40,200,900,120,4,30,7,40000,3,20,480,0.25,8,6,"CIVILIAN, FREIGHTER","rare_bp, SGB_bp",,0.6,2,3,
水牛(SGB),SGB_Buffalo,货舰,链戍集团军,flarelauncher_active,5,3000,125,1500,1167,80,39,1,50,25,15,15,6,400,OMNI,,120,0.5,1,,,10,20,320,80,2,40,9,20000,5,20,280,0.20,6,4,"CIVILIAN, FREIGHTER","iirt_all_bp, SGB_bp",,0.5,2,3,310
软熔,SGB_SoftMelting,燃料输送舰,链戍集团军,maneuveringjets,6,2000,350,2000,2500,100,50,,45,30,20,25,20,400,OMNI,,90,0.5,1.2,,,10,20,10,800,2,400,8,22000,5,20,300,0.25,4,4,"CIVILIAN, TANKER","iirt_all_bp, SGB_bp",,0.75,4,5,
盎亚斯,SGB_Anoyas,武装驳船,链戍集团军,maneuveringjets,7,2750,200,2000,,100,55,,70,40,40,30,18,200,OMNI,,120,0.5,0.86,,,5,20,250,40,1,40,10,12500,2,20,280,0.15,4,1,"CIVILIAN, FREIGHTER","merc, iirt_all_bp, SGB_bp",,0.5,2,4,310
盎亚斯,SGB_Anoyas_Tanker,武装驳船,链戍集团军,maneuveringjets,7,2750,200,2000,,100,55,,70,40,40,30,18,200,OMNI,,120,0.5,0.86,,,5,20,20,250,1,250,10,12500,2,20,280,0.15,4,1,"CIVILIAN, TANKER","merc, iirt_all_bp, SGB_bp",,0.5,2,4,310
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#特殊非27物件
研究基地,SGB_Mission_station3_hightech,星际要塞,,drone_station_high,400,160000,2400,1000,2500,100,0,,30,200,200,2,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,100,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,
