id,type,text1,text2,text3,notes,Column 07
SGB_Penetrator,SHIP,"Not really useful in a fight, but thanks to their stable shield generator, these petite drones can sometime absorb massive singe shot firepower by sheer luck - like eating one reaper torpedo as it overloads. 
没什么作战能力，但得益于稳定的护盾发生器，这种小巧的无人机可以在某些时刻撞大运般在过载前吃下巨大的单发火力 - 例如一发将它砸过载的死神鱼雷。",,,,
SGB_wolf,SHIP,"Very similar to the wolf, but the Alpha Wolf is actually a re-imagining of the Wolf concept drawing. Lavish spending on apperance did not only improve the ship's looks, its spec across the board is also slightly superior. On the other hand, as it never entered mass production, it is fairly rare to find one.
",,,,
SGB_Graviton_pulse,WEAPON,"A very rare find in the sector that shares the same design philosophy of the ion beam. Though compared to sustained suppresion, this weapon overloads its rate of fire to massively increase the force applied by particles on the shield....its probably easier to just think of it as a burst ion beam.",,,,
SGB_Tutia,WEAPON,"The only thing stronger than missiles is more missiles. Following this logic, the Tutia MIRC have a terrifying damage potential. Poorly 
guided rockets are strpped enmass ona  drone, which carries out target locking. The barrage of rocket fire will shread the poor drone, and whatever target is in front of them. ",,,,
SGB_Homunculus,SHIP,"Homunculus - A man-made being in alchemy. This is a very rare encounter in the sector, it is rumored to contain a drone nano-factory allowing this destroyer to fight head on against cruisers. In battle, a ship like this can disrupt, interrupt, and shread any enemy tactical plans, and the Tutia MIRV system can launch a rain of missiles to destroy any smaller ship daring to harass.

In many ways, it extended the Shackles Garrison's favourtism for missiles. ","Unknown ship
Rare Encounter
No dscription in database

",Unknown Entry,,
SGB_Transmutation,SHIP,"Transmutation - an alchemical term meaning changing of one substance to another. This ship shares simularity with many ship in the Shackles Garrison but the actual number in the sector is very low. Based on available information, it is suited to rush in combat and use its shielding to cover bombers to rapidly destroy enemy.

While this close range bombing doesn't quite fit the Shackle's Hit&Run strikes, it is still a kind of strike doctrine. ","Unknown ship
Rare Encounter
No dscription in database",Unknown Entry,,
SGB_Cupola_P,SHIP,"Modified by the former Redstone Crystal Taskforce, with large amount of flight decks and firepower installed, and a more striking apperance. - Unlike other pirate products, former RCT ships are well maintained. 

Bigger, harder, and more surivable super freighter. This fully militarized Cupola class is able to carry slightly more cargo than the Atlas, but has far superior protection when compared to its fragile counterpart. Even if caught in a fight, the Cupola's powerful base spec can invalidate harassment by most smaller ship. That said, it is only a matter of time for a civilian freighter to be destroyed by firepower of a large military vessal. ","Unknown ship
Rare Encounter
No dscription in database",Unknown Entry,,
SGB_Fleamut_P,SHIP,"Modified by the former Redstone Crystal Taskforce, completely reworked shield logic, and a more striking apperance. - Unlike other pirate products, former RCT ships are well maintained. 

The Flemut class is a more strike-oriented modification of the Sunder, with extreme modifcation without regard to cost. Although most of the ship's internal structure have been taken up to install its unique mobility system and some weapon slots are lost, these changes does not change the ship's excellent burst damage capabilities. Several Flemut can isolate and shread and enemy like a pack of hyenas before leaving them a mangled wreck following an explosion.

Though the Flemut designw as finalized long ago, few anticipated the ship to turn out the way it did. The Sunder was only selected as the ship's basis as a chat within the design bureau, and the ship system is just a beneifical system error arising out of the Hammies system upgrade. In the end, the Shackle's engineers did everything they could to reproduce and stabilize that system error, resulting in this terrifying design. ","Unknown ship
Rare Encounter
No dscription in database",Unknown Entry,,
SGB_Carving_P,SHIP,"Modified by the former Redstone Crystal Taskforce, it uses tech recovered from strike against tri-tachyon forces to upgrade the ship's engine and a more striking paint job. - Unlike other pirate products, former RCT ships are well maintained, but due to a lack of replacement parts, the builtin PD array is rmeoved and the space used to optimize the ship's flux grid. 

Were it not fitted with cruiser-level hullmod ports, there is no way the Carving Class would be called a Cruiser. The ship's built-in PD array has staaggering recoil, but it also can make a large volume its facing into a no-fly zone with terrifying efficiency. Any cluster of small missile or poorly armored strike craft squadron will drown in an ocean of frags in an instant. 

After the ship has formally entered service, many captain realized that the system of the Carving class is not that complicated - at least not as hard to modified as those of the capital ships. Accordingly, modifying the ship's safety system became a hobby of many radical crews. This lead to the admiralty issuing a correspondingly strict laws - given the effect these practice has on ship life, not to mention it clearly exposed the actual capability of the ship, something the Shackles Garrison wishes to conceal. ","Unknown ship
Rare Encounter
No dscription in database",Unknown Entry,,
SGB_Serpentine,WEAPON,"A heavy aerial bomb, filled with colloid mixture that will be instantly spread into the vaccum, followed up by a particle shockwave - extremely deadly to target forced to keep up their shield in a fight.",,,,
SGB_WingRail,WEAPON,"Instead of an fighter mounted weapon, it is more apt to call this a weapon mounted fighter. The weapon takes over half the hull of the fighter and the massive rail can launch the projectile far, with great penetration. 
",,,,
SGB_Ares_Coop,SHIP,"Ares' collaborative model, codenamed Ares-C05; although its side-mounted degradation device is called a blatant rip-off of the ion beam, in terms of actual production cost and practicality, it far surpasses the achievements set by its predecessor. In both dog fights and anti-ship action, it can use its excellent roll ability to pressure the enemies. The extra weapon also gives it plenty of options in a close range fight, making it a true multi-role - with the exception if the weakness of its fragile hull meaning most head on assualt will result in heavy lossess. ",,,,
SGB_Agatha_Coop,SHIP,"Agatha's Collaborative model, named Agatha-C10; this craft almost bear no reselmblance to the original model. Its massively revamped hull and system makes it an entirely new craft on several levels - namely a railgun support craft that is more like a drone turret. It can provide constant suppresion against targets within in range, often being enough to keep an opponent from charging into the vessal it is escorting. Though the complex system requirement also made it a logistic sinkhole. ",,,,
SGB_Agatha_Assault,SHIP,"Agatha's Collaborative model, named Agatha-C10; this craft almost bear no reselmblance to the original model. Its massively revamped hull and system makes it an entirely new craft on several levels -  An extreme pressure fighter, made to rapidly destroy enemy shield. Every fighter carries an Edge Cutter needler and a Serpentine Resonance Aerial Bomb these terrifying kinetic firepower can collapse an shield at an instant. Even if the opponent choose to turn their shield off, the massive bomb can still deal considerable damage to targets - not to mention the rest of the fleet can capitalize on this opening. ",,,,
SGB_Microhierax,SHIP,"Most defensive module of this ship is not much to write about, but the builtin timeflow system and massive amount of weapon mount in the front of the ship allow it to display strength unmatched by most high tech ships. Though given the ship never entered mass production, it is a very rare find in the sector. 
",,,,
SGB_WingPushPlate,SHIP_SYSTEM,Why would you put this on a fighter?,,,,
,,,,,,
#星球/地图建筑描述,,,,,,
,,,,,,
SGB_planet1_description,CUSTOM,"As a star fortress which had been abandoned long times ago, many ruined military installations can be found when the Shackles Garrison first discovered this planet. After a long period of restoration work by the 27th Group, the vast majority of facilities in this star fortress have resumed operation, including the energy-consuming planetary shield.

The core of the Shackles Garrison is located here, and ships are completed day and night from the shipyard. A large amount of mineral deposits are rapidly consumed, and everything on the entire planet is prepared for revenge.

Due to its strong militarized management, the black market does not exist on this planet.",,"The red planet shield wraps around the entire planet like a spider web. The planet was originally an abandoned starcastle, but was ultimately commandeered by the Shackles Garrison. You can see a large number of ships being cast in various parts of the planet, and the entire planet's minerals being recklessly mined. Countless buildings are disorderly but orderly, filling all the gaps. You heard that all of this was completed in less than one ephemeris year.

This is the new capital of the Shackles Garrison.

Because there is an extremely terrifying regulatory system here, no pirate can survive for two days after successfully infiltrating. Most Luddite individuals live in various places where they will kill themselves to continue achieving their goals - you are certain that no black market can be formed here.

This planet once witnessed the end of an era; And now it has witnessed the rise of the Shackles Garrison. Here, the Shackles Garrison may regain the title of their name of Battle Group and create their new history.",,
SGB_planet3_description,CUSTOM,"The weather here is incredibly hot, and the entire planet's residential areas heavily rely on habitats deep underground for their livelihoods. Most transactions and external communication are conducted through space stations in orbit.",,"You feel as though you're on the verge of experiencing a hallucination.

The planet's atmosphere exhibits a peculiar transparency under the intense heat, causing everything to appear distorted - before you've even descended in the shuttle.

The weather is unbelievably hot, with numerous sandstorms and waves of acid dust sweeping the globe, forming vast, shifting mountain ranges in the sky. The planet's settlements heavily depend on life support systems deep underground. Most transactions and external communications are conducted through space stations in orbit.",,
SGB_resourcesPlanet_description,CUSTOM,"Some planets have already been surveyed, but have not been developed by the Shackles Garrison Battlegroup.",,,,
SGB_planet_aouintes_Mission_Finish,CUSTOM,"The former capital of the Shackles Garrison Battlegroup, when the Shackles Garrison Battlegroup was engaged in a local conflict with Tri-Tachyon, the Hegemony fleet took advantage of the situation and launched orbital bombings here.

The unit of Shackles Garrison - codenamed Forging Hammer Mobile Group - quickly responded, but when they broke through the blockade and reached the orbit of the planet-
They only saw a sea of flames filling the entire planet.

The angry remnants of the Shackles Garrison launched a decisive battle against the Hegemony main fleet - with the sole purpose of killing enemy ships, without considering their own survival. Although the Hegemony fleet effortlessly cleared this desperate fleet, it still lost several dozen warships.

The atmosphere of the planet has been depleted in that disaster, and the previously abundant organic matter has turned into lava on the surface or smoke and dust in the sky. At the same time, a large amount of minerals that were once mined have become powder mixed with the air, forming this pink glow under the Tyndall effect - but also causing lethal levels of atmospheric pollution.

According to the official explanation from the Hegemony, it was a tactical bombing.",,,,
SGB_planet_aouintes,CUSTOM,"The former capital of the Shackles Garrison Battlegroup, when the Shackles Garrison Battlegroup was engaged in a local conflict with Tri-Tachyon, the Hegemony fleet took advantage of the situation and launched orbital bombings here.

The troops stationed along the Shackles Garrison had not had time to react before the entire planet was destroyed by the overlord's bombing.

The planet's atmosphere had been exhausted in that disaster, and the originally abundant organic matter had completely disappeared in the burning. A large amount of previously mined minerals had turned into powder and mixed with the air, forming a deadly level of atmospheric pollution.

According to the official explanation from the Hegemony, it was a tactical bombing.",,,,
SGB_planet6_platform,CUSTOM,"This outpost is located in a relatively remote location and is expected to fall into its parent star due to magnetic field effects in the near future. Although it has been abandoned, its exterior maintenance is quite good. But of course, for you, this is an ideal storage space that can avoid the trouble of warehouse tariffs.",,"There are still the necessary facilities for ship maintenance inside, and most of the cabins remain in good condition. You speculate that someone must have used this place before.

As your survey team delves deeper into exploration, fragmented bodies marked with the logo of employees from Tri-Tachyon start to appear in areas that are poorly maintained. There are also numerous signs of ships making emergency takeoffs - several gaping wounds torn from the inside by chain guns and traces of antimatter engine burns left on them, while some of the ships seem not to have taken off successfully.

There were also many personnel who appeared to belong to the 27th Battle Group - this was learned after the exploration team scanned more identity cards of the drifting bodies in the deeper areas.

Perhaps a major battle took place here, or maybe a mutiny? But regardless, they seem to have left something behind, and you are certain that these items will be far more helpful to you than those ancient stories.

[Upon first arrival at this storage point, you can obtain some resources left by predecessors]
You can maintain your ship here, or store a large amount of items.",,
,,,,,,
SGB_Ampoist_station,CUSTOM,"The research fortress, once struck by Shackles Garrison, is still able to operate barely normally today. Before the attack, it could regularly produce certain scientific research results.

However, with the strike from Shackles Garrison, a large number of scientific research facilities were irreversibly damaged, and now, this place basically exists in name only.",,"The fortress is riddled with numerous patches, and many areas still bear signs of ongoing construction. The battle that took place there was said to be extremely fierce. The shock ammunition used by the 27th combat group directly overloaded the space station's shield system, causing a massive electrical backflow that nearly completely incinerated the internal research modules.

Following this, a large number of fighter jets acted entirely on the principle of extermination measures, turning all the shuttles attempting to evacuate into explosions mixed of flesh and blood under the barrage of Vulcan cannons.

After that incident, Tri-Tachyon ceased to invest much capital in this space station.",,
SGB_Ampoist_station_Capt,CUSTOM,"The research fortress, once struck by Shackles Garrison, has undergone extensive militarization adjustments after being seized by the 27th Battle Group. It has now completely transformed into a combat fortress.

The former research facilities have been stripped of residual information, and the excess parts have been melted into metal plates for the production of ships and ammunition.",,"The fortress is riddled with numerous patches, and many areas still bear signs of ongoing construction. The battle that took place there was said to be extremely fierce. The shock ammunition used by the 27th combat group directly overloaded the space station's shield system, causing a massive electrical backflow that nearly completely incinerated the internal research modules.

Following this, a large number of fighter jets acted entirely on the principle of extermination measures, turning all the shuttles attempting to evacuate into explosions mixed of flesh and blood under the barrage of Vulcan cannons.

After that, this area underwent extensive militarization and was attempted to be used by its owner as a tactical deployment springboard for the core systems.
",,
#势力介绍,,,,,,
SGB,FACTION,"The Shackles Garrision is a mid-tech battlegroup that was once thought lost. However, the sudden occurence of the Great Collapse meant no organization had the means or intention to look for them. From the perspective of the Shackles garrison, they are just a fleet abandoned after an ordinary excercise. This ultimately lead to the shackles garrison renouncing their original title - 27th Battlegroup of the Shackles Strike Force. Making them essentially highly organized deserters; Though research of the garrisson eventually cleared up the history - they were not abandoned out of malice. But all the various issue that arose cannot simply be addressed in such a short time.In the end, Shackles Garrison decided to forget it all and spent the rest of their existence in a nearby sector.

Unlike the Hegemony, the Shackles Garrison care not for the legitimacy of the Domain. Afterall, it is the Domain who abandoned them after they went AWOL. This means they care not for the continuation of Domain rules; nor do they have any thought of rulership over the sector, but instead prefer to cooperate with various factions. That is, after all, the best way to resolve conflicts.

For the chaotic persean sector, it is best to avoid taking a side if it can be helped. After a series of local conflicts, the enraged Shackles Garrison formally declared war against Tri-Tachyon and the Hegemony, but maintaiend fairly normal relation with the league.In the end, fighting on two front caused the Garrision to suffer massive losses and forced them to withdraw from the core sectors. They now stand guard in a small militarized system under their control, biding their time.",,,,
,,,,,,
#武器,,,,,,
SGB_Quench_Rocket,WEAPON,"The Quench SRM unit is distinguished by its ability to efficiently replenish missiles after exhausting its original supply - this enables it to be particularly suited for sustained suppression needs, while its short-term explosive capability remains formidable.",,,,
SGB_Quench_Chaingun_L,WEAPON,"The Quench Chain Gun Module is essentially a chain gun device that slightly accelerates the firing rate. Due to its smaller size, it is quite difficult to maintain. But in the battlefield environment, this chain gun is still very reliable.",,,,
SGB_Quench_Chaingun_R,WEAPON,"The Quench Chain Gun Module is essentially a chain gun device that slightly accelerates the firing rate. Due to its smaller size, it is quite difficult to maintain. But in the battlefield environment, this chain gun is still very reliable.",,,,
,,,,,,
SGB_Resonance,WEAPON,"Resonance Heavy Railgun uses a more extreme form of energy propellant system through a short activation of a spatial guidance field. This allow the projectile to strike at an enemy with extreme speed, with associated kinetic energy to match. Under repeated fire, the enemy only helplessly watch their shield system go from warning, to collapse, to meltdown. 
",,,,
SGB_Shackles_MissileLauncher,WEAPON,"The Whiplash MRM is a built in missile launcher with overwhealming ranged PD capabilities; Although these missiles can only deal some fragmentation damage in normal situations, they can be terrifyingly effective against any numbers of enemy missiles through a cluster of explosion: The missile's tracking system is also further specialized against smaller missile targets, but its anti ship lock has been hard-locked after a testing - to avoid friendly fire against damaged allied ships. 
",,,,
SGB_Shackles_MissileLauncher_L,WEAPON,"Whiplash MRM Pod made additional accomodation to store its namesake missile, but compared to the more miniaturized launcher, this version have inferior ammo capacity, range and reload speed.

The Whiplash MRM is a built in missile launcher with overwhealming ranged PD capabilities; Although these missiles can only deal some fragmentation damage in normal situations, they can be highly effective against smaller numbers of missiles or disorganized strikecraft formations.

The missile's tracking system is also further specialized against smaller missile targets, but its anti ship lock has been hard-locked after a testing - to avoid friendly fire against damaged allied ships. 
",,,,
SGB_MeltingMold_Launcher,WEAPON,"Melting-Mold EDL Launcher is a miniature plasma gun, and its miniaturization process greatly limits its actual output. The unique charging requirements also make it impossible to mass produce or load during combat; But setting aside these factors, the unique launch mode of investment EDL gives it a unique backflow capability - once the projectile comes into contact with the ship, a large amount of unstable amplitude energy flow will rapidly sweep the entire ship.",,,,
SGB_Argion_Rocket,WEAPON,"Argion's missile pods benefits being supplied with sufficient raw materials, allowing the missile launcher the ability to replenish itself to a degree. When an Argion is carrying out Hit&Run, it can always throw missiles everywhere and then smash them from all directions towards enemies without omnidirectional shields.",,,,
SGB_Axio_Rocket,WEAPON,"Throw away your old rocket launcher! The Axio Den Missile Pod has a total of 16 missiles, and these ferocious little guys will directly charge towards the enemy after launch, without the need for aiming and prediction like Annihilators. They can always unleash terrifying power when mounted on an assualt strike craft.

",,,,
SGB_Wings_Missile,WEAPON,"Den missiles possess the capability to exert pressure on enemies within a certain distance. However, this hardpoint only carries one such missile. Although it can be reloaded slowly by the ammunition loader, its actual performance may not be as prominent as that of the Den SRM unit.
",,,,
SGB_Ship_Red_Missile,WEAPON,"Lupus missiles possesses excellent guidance and high-speed strike capabilities. However, this mounting point only carries one such missile. Although it can be slowly reloaded by the ammunition loading machine, its actual performance may not be as outstanding as that of the Lupus MRM unit.",,,,
XXVII_den_Redmond_L,WEAPON,"The Den SRM unit is capable of pressuring the enemy at a certain distance, relying on sufficient ammunition to create a barrage towards the enemy throughout the entire battle; the threat of its individual missiles is not prominent, but becomes extremely dangerous in numbers.",,,,
XXVII_den_Redmond_R,WEAPON,"The Den SRM unit is capable of pressuring the enemy at a certain distance, relying on sufficient ammunition to create a barrage towards the enemy throughout the entire battle; the threat of its individual missiles is not prominent, but becomes extremely dangerous in numbers.",,,,
XXVII_den_Felix_L,WEAPON,"The Den SRM unit is capable of pressuring the enemy at a certain distance, relying on sufficient ammunition to create a barrage towards the enemy throughout the entire battle; the threat of its individual missiles is not prominent, but becomes extremely dangerous in numbers.",,,,
XXVII_den_Felix_R,WEAPON,"The Den SRM unit is capable of pressuring the enemy at a certain distance, relying on sufficient ammunition to create a barrage towards the enemy throughout the entire battle; the threat of its individual missiles is not prominent, but becomes extremely dangerous in numbers.",,,,
XXVII_den_Anvil_L,WEAPON,"The Den SRM unit is capable of pressuring the enemy at a certain distance, relying on sufficient ammunition to create a barrage towards the enemy throughout the entire battle; the threat of its individual missiles is not prominent, but becomes extremely dangerous in numbers.",,,,
XXVII_den_Anvil_R,WEAPON,"The Den SRM unit is capable of pressuring the enemy at a certain distance, relying on sufficient ammunition to create a barrage towards the enemy throughout the entire battle; the threat of its individual missiles is not prominent, but becomes extremely dangerous in numbers.",,,,
,,,,,,
XXVII_den_Anvil_ML,WEAPON,"The Forging MRM Hangar has the capability to apply pressure on enemies at a greater distance; it can also rely on its terrifying barrage of volleys to inflict heavy damage on the opponent, while its ample payload allows it to easily destroy smaller enemies.",,,,
XXVII_den_Anvil_MR,WEAPON,"The Forging MRM Hangar has the capability to apply pressure on enemies at a greater distance; it can also rely on its terrifying barrage of volleys to inflict heavy damage on the opponent, while its ample payload allows it to easily destroy smaller enemies.",,,,
,,,,,,
XXVII_den_Ogent_F,WEAPON,"The Rolling-Steel MRM Module can slowly produce batches of sabot carriers containing high-density micro-shaped solid sabot that can violently impact enemy shields. In some cases, these vicious sabots can also directly penetrate enemy armor and damage internal structures.
",,,,
XXVII_den_Achilles_L,WEAPON,"The Lupus MRM unit's ability as a finisher is beyond imagination. A volley of these will ensure no target with its shield suppressed by the firepower of an Achilles class can escape the area alive.
",,,,
XXVII_den_Achilles_R,WEAPON,"The Lupus MRM unit's ability as a finisher is beyond imagination. A volley of these will ensure no target with its shield suppressed by the firepower of an Achilles class can escape the area alive.
",,,,
,,,,,,
XXVII_den_Onslaught_LL,WEAPON,"The Den MRM Pod has the ability to pressure enemies at a certain distance, relying on ample ammunition to create a barrage against the enemy throughout the battle; the threat of a single missile is not prominent, but it becomes extremely dangerous when there are many.
",,,,
XXVII_den_Onslaught_RL,WEAPON,"The Den MRM Pod has the ability to pressure enemies at a certain distance, relying on ample ammunition to create a barrage against the enemy throughout the battle; the threat of a single missile is not prominent, but it becomes extremely dangerous when there are many.
",,,,
XXVII_den_Onslaught_LF,WEAPON,"The Forging MRM Launcher directly connects to the missile forging core inside the ship, giving it a terrifying endurance ability; however, it is worth mentioning that the weapon's actual combat effectiveness is greatly restricted due to its narrow firing arc.",,,,
XXVII_den_Onslaught_RF,WEAPON,"The Forging MRM Launcher directly connects to the missile forging core inside the ship, giving it a terrifying endurance ability; however, it is worth mentioning that the weapon's actual combat effectiveness is greatly restricted due to its narrow firing arc.",,,,
,,,,,,
SGB_Nuke_Launch_L,WEAPON,"The exact payload of the  Antimony Ore Launcher remain a tightly guarded secret, but the numerous shipwrecks produced by this formidable armament attest to its capabilities as a slow yet sturdy missile containing vast amounts of energy that enable it to navigate far distances independently to wreak havoc on its foe. The substantial payload and its extreme endurance capabilities do not interfere with each other. Upon hitting an enemy, a single piece of stibnite can completely shred the enemy's shields, and the subsequent second strike will kick away all the armor on the enemy's ship.",,,,
SGB_Nuke_Launch_R,WEAPON,"The exact payload of the  Antimony Ore Launcher remain a tightly guarded secret, but the numerous shipwrecks produced by this formidable armament attest to its capabilities as a slow yet sturdy missile containing vast amounts of energy that enable it to navigate far distances independently to wreak havoc on its foe. The substantial payload and its extreme endurance capabilities do not interfere with each other. Upon hitting an enemy, a single piece of stibnite can completely shred the enemy's shields, and the subsequent second strike will kick away all the armor on the enemy's ship.",,,,
#战机联队,,,,,,
SGB_Drone,SHIP,"A rather basic type of drone, widely used on many ships in Shackles Garrison - mostly for logistics and transport, with very few actually militarized enough to be directly deployed on the battlefield; the weapons carried by this drone entirely depend on what weapons were a budget purchase at the time of production, making it hard to define its actual role on the battlefield. Its most distinctive features are the small thermal decoy launcher and the entire body's power grid being utilized to supply a small-scale shipborne weapon, which almost renders it devoid of Flux, speed, and virtually everything else.",,,,
SGB_Agatha,SHIP,"This type of LPC can activate modifications on other models aboard the Shackles Garrison carrier. The Agatha-class is a versatile asset, equipped with an integrated decoy launcher that can divert defensive fire away from itself or high-value targets. Additionally, it carries two Den missiles capable of penetrating armor to a certain extent. Pin has endowed it with effective capabilities against light armor, while the light machine gun retains its efficacy against shields.",,,,
SGB_Ares,SHIP,"This type of LPC can activate modifications of other models on the Shackles Garrison carrier. The Ares-class multi-machine decoy launcher will greatly interfere with the enemy's point defense system, allowing it to have more robust and sustained output when seizing air superiority and suppressing enemy shields. Two Pins can quickly evaporate targets that have lost their armor from the battlefield, while the Den carried by the machine helps it to quickly penetrate the enemy's armor.
",,,,
SGB_Axio,SHIP,"This type of LPC can activate modifications of other models on the Shackles Garrison carrier. The Axio class shares many similarities with the khopesh. However, compared to the Khopesh, axio's unique vectored engine gave it extremely high mobility. Furthermore, compred to rockets, the Shackle's Garrison designer selected the missile as the payload instead. All of this allowed this strike craft to preserve itself in a raging battlefield while delivering as much damage as possible. ",,,,
SGB_Argion,SHIP,"The Argion-class's unique modular system allows for various configuration models. Specialized bodies can accumulate gradually accelerating energy—essentially becoming faster over time. This often enables the effective execution of Hit&Run tactics. Moreover, thanks to its unique missile self-production system, it doesn't need to return to the ship for replenishment like other bombers. All pilots operating this type of carrier-based aircraft must understand reverse maneuvers to ensure the smooth recovery of both the aircraft and pilots after battle.
",,,,
SGB_Quench,SHIP,"The Quench-class hunter has a quite unique body structure, equipped with a large number of weapons and a pair of missile modules that rapidly produce ammunition. In most cases, this fighter is rarely seen, and only certain special ships have the facilities to produce them.",,,,
SGB_Quench_Fri,SHIP,"The squad leader aircraft of the Quench Squadrons, the Quench-class hunter has a rather unique body structure. It is equipped with an abundance of weaponry and a pair of missile modules that rapidly produce ammunition. Under most circumstances, this type of fighter aircraft is rarely seen, only appearing in extremely rare cases when special production ships are involved - or when facing the Quench formation directly.",,,,
SGB_Quench_Clo,SHIP,"The formation leader of quench squadrons，only eligible to be piloted by the ACEs from various Quench squadrons. This Quench-class hunter has undergone extensive personalization modifications. It not only carries a large number of weapons, but also further strengthens its armor structure and shielding effects. As the top lead aircraft in each formation group, the support of a small team is indispensable.",,,,
#战机变种,,,,,,
SGB_Ares_DogFight,SHIP,"Ares' air superiority model, codenamed Ares-S79; this carrier-based aircraft bears little resemblance to its original model, with substantial changes in its appearance and system making it a completely different entity at various levels - an aerial mine interceptor.",,,,
SGB_Ares_Assault,SHIP,"Ares' strike model, designated as Ares-A08; compared to the original model, it sacrifices some top speed in exchange for more powerful protection and even more terrifying firepower. Small ships are insignificant in front of its three built-in grenade guns, and when facing heavily armored ships, it can quickly become a thorn in their side with the help of a magazine accelerator.",,,,
SGB_Agatha_DogFight,SHIP,"Agatha's air defense model, code-named Agatha-D30, is designed for saturation anti-aircraft defense. Relying on its three needle-sentinels, a turret system with no fixed slots, and an extra-tuned point defense AI system, the Agatha-D30 can quickly vaporize a large number of passing missiles and lightly armored targets in aerial combat.",,,,
SGB_Axio_Coop,SHIP,"The collaborative model of Axio, codenamed Axio-S02; this carrier-based aircraft bears almost no resemblance to the original model. Its significant changes in appearance and system make it an entirely different entity at every level - an extreme energy projector. However, due to this weapon still being too space-occupying for bombers, it still needs to get close to within nearly 300su before it can fire on carrier-based aircraft.",,,,
SGB_Axio_DogFight,SHIP,"Axio's air superiority model, codenamed Axio-D51; this carrier-based aircraft has discarded the original model's bomber armament and has been forcibly welded with numerous anti-aircraft weapons such as anti-aircraft guns, allowing it to assist the fleet in interception like an external gun turret.",,,,
SGB_Axio_Assault,SHIP,"Axio's strike model , codenamed Axio-K02; this carrier-based aircraft has little to do with its original model. Its extensive changes in appearance and system have made it a completely different entity at every level - a large melting beam gunboat. Its primary combat style is to rely on strong defensive capabilities to forcibly approach enemy ships, and to instantly melt enemy ships with built-in terrifying beams.",,,,
SGB_Pin,WEAPON,A simple but extremely miniaturized Vulcan gun that carries a more dangerous unstable steel warhead to achieve a more extreme exit velocity.,,,,
SGB_PinTwi,WEAPON,"A simple, but extremely miniaturized twin cannon with two barrels for firing unstable steel bullets.",,,,
SGB_ShockerShade,WEAPON,"An extreme energy emitter that produces a large number of ion clusters that, if they come into contact with any physical target before dissipating, will produce a great disruptive reaction, followed by countless electrons that will present a chemical reaction that will reliably creates discontent amongst the mechanical crew.",,,,
